County,City,POPULATION,VIOLENT CRIME,MURDER,RAPE,ROBBERY,AGGRAVATED ASSAULT
Knox County,Fredericktown,2461,4,0,0,0,4
#N/A,#N/A,20,0,0,0,0,0
#N/A,#N/A,40890,56,2,26,1,27
Lake County,Eastlake,18056,14,1,2,5,6
#N/A,#N/A,3050,7,0,1,1,5
#N/A,#N/A,638,0,0,0,0,0
Lake County,Mentor,46663,72,0,11,17,44
#N/A,#N/A,7359,9,0,0,1,8
Lake County,Painesville,19719,11,1,1,0,9
#N/A,#N/A,449,1,0,0,0,1
Lake County,Wickliffe,12679,9,0,0,4,5
Lake County,Willoughby,22857,34,0,1,17,16
Lake County,Madison,15380,4,0,0,0,4
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,6759,1,0,0,0,1
#N/A,#N/A,45532,303,0,29,45,229
#N/A,#N/A,0,2,1,0,0,1
#N/A,#N/A,2137,0,0,0,0,0
#N/A,#N/A,10853,15,0,2,5,8
#N/A,#N/A,3935,2,0,1,0,1
#N/A,#N/A,42911,62,7,11,5,39
Franklin County,Reynoldsburg,9137,25,0,6,12,7
Franklin County,New Albany,168,0,0,0,0,0
#N/A,#N/A,49389,91,1,47,14,29
Licking County,Granville,5787,0,0,0,0,0
#N/A,#N/A,10681,23,0,7,2,14
Licking County,Johnstown,5025,2,0,1,0,1
#N/A,#N/A,537,0,0,0,0,0
#N/A,#N/A,2179,3,0,0,0,3
#N/A,#N/A,65171,60,4,19,12,25
Logan County,Bellefontaine,13144,14,0,6,2,6
Logan County,Russells Point,1367,4,1,2,0,1
Logan County,West Liberty,1785,1,0,0,0,1
#N/A,#N/A,25465,20,1,11,0,8
Lorain County,Elyria,53586,191,3,39,64,85
Lorain County,Vermilion,5778,2,0,1,0,1
Lorain County,Amherst,12090,5,0,0,2,3
Lorain County,Avon Lake,23839,8,0,0,1,7
Lorain County,Lorain,63672,373,2,30,87,254
Lorain County,Oberlin,8321,13,0,6,0,7
Lorain County,North Ridgeville,33586,17,1,7,2,7
Lorain County,Sheffield Lake,8983,7,0,5,2,0
Lorain County,Grafton,6182,1,0,1,0,0
#N/A,#N/A,61609,55,0,14,9,32
Lucas County,Toledo,277116,2829,35,180,780,1834
Fulton County,Swanton,145,0,0,0,0,0
Lucas County,Maumee,13809,5,0,0,3,2
Lucas County,Oregon,19991,36,1,10,8,17
#N/A,#N/A,4488,0,0,0,0,0
#N/A,#N/A,18908,6,0,3,0,3
#N/A,#N/A,29536,39,0,4,12,23
Lucas County,Holland,1662,7,0,1,4,2
Lucas County,Waterville,5518,1,0,0,0,1
Lucas County,Whitehouse,4622,2,0,0,1,1
#N/A,#N/A,0,7,0,0,5,2
#N/A,#N/A,3241,0,0,0,0,0
#N/A,#N/A,1655,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,0,1,0,0,0,1
#N/A,#N/A,51193,90,0,19,25,46
Madison County,London,10202,14,0,2,2,10
Madison County,West Jefferson,4347,2,0,0,0,2
#N/A,#N/A,25093,14,0,4,2,8
Mahoning County,Boardman,39276,61,0,14,31,16
Mahoning County,Youngstown,63878,447,23,32,151,241
Columbiana County,Columbiana,650,0,0,0,0,0
Columbiana County,Salem,4,0,0,0,0,0
#N/A,#N/A,335,0,0,0,0,0
Mahoning County,Austintown,35303,62,0,9,14,39
#N/A,#N/A,7875,9,0,0,2,7
Mahoning County,Canfield,7246,3,0,1,0,2
#N/A,#N/A,1097,0,0,0,0,0
#N/A,#N/A,2444,0,0,0,0,0
#N/A,#N/A,4232,11,0,4,0,7
Mahoning County,Struthers,10228,15,0,1,4,10
Mahoning County,Craig Beach,1129,1,0,1,0,0
Mahoning County,New Middletown,1553,0,0,0,0,0
#N/A,#N/A,6427,2,0,1,0,1
#N/A,#N/A,6374,7,0,2,0,5
Clermont County,Goshen,3072,3,0,2,0,1
#N/A,#N/A,2445,2,0,1,1,0
Mahoning County,North Jackson,2018,2,0,0,0,2
#N/A,#N/A,11921,3,0,1,1,1
#N/A,#N/A,1326,3,0,1,0,2
Stark County,Alliance,35,0,0,0,0,0
#N/A,#N/A,16141,4,0,0,0,4
#N/A,#N/A,36230,100,3,40,28,29
#N/A,#N/A,28813,22,1,9,2,10
Medina County,Brunswick,34838,21,1,2,4,14
Medina County,Medina,26199,17,1,5,5,6
Medina County,Wadsworth,23388,24,0,4,1,19
#N/A,#N/A,1164,0,0,0,0,0
Medina County,Spencer,777,2,0,1,0,1
Medina County,Hinckley,7970,1,0,0,0,1
#N/A,#N/A,11718,0,0,0,0,0
#N/A,#N/A,8940,5,0,1,0,4
#N/A,#N/A,10309,2,0,1,0,1
Wayne County,Rittman,114,0,0,0,0,0
Wayne County,Creston,91,0,0,0,0,0
#N/A,#N/A,47744,0,0,0,0,0
#N/A,#N/A,2455,0,0,0,0,0
#N/A,#N/A,1808,0,0,0,0,0
#N/A,#N/A,655,0,0,0,0,0
#N/A,#N/A,376,0,0,0,0,0
#N/A,#N/A,816,0,0,0,0,0
#N/A,#N/A,16976,25,0,7,3,15
Mercer County,Coldwater,4519,3,0,3,0,0
Mercer County,Fort Recovery,1436,1,0,0,0,1
Mercer County,Rockford,1099,0,0,0,0,0
Mercer County,Saint Henry,2527,1,0,0,0,1
#N/A,#N/A,21146,5,0,3,0,2
Miami County,Piqua,20973,54,1,33,11,9
Miami County,Tipp City,9957,4,0,4,0,0
Miami County,Troy,25865,38,1,20,6,11
Miami County,Covington,2637,3,0,0,0,3
Dayton,Huber Heights,995,2,0,0,1,1
#N/A,#N/A,40126,25,0,14,1,10
#N/A,#N/A,2312,0,0,0,0,0
#N/A,#N/A,11875,7,0,1,1,5
Dayton,Dayton,140171,1232,30,122,393,687
Dayton,Centerville,23780,14,0,2,4,8
Dayton,Germantown,5477,4,0,2,1,1
Dayton,Kettering,54681,70,0,23,26,21
#N/A,#N/A,28996,28,0,5,6,17
Dayton,Miamisburg,19928,14,0,4,2,8
Dayton,Moraine,6360,27,0,8,10,9
Dayton,Clayton,13149,5,0,0,4,1
Dayton,Trotwood,24308,69,3,15,35,16
Dayton,Vandalia,15022,26,0,10,11,5
Dayton,Huber Heights,37001,75,0,15,20,40
Dayton,West Carrollton,12898,23,1,5,11,6
Dayton,Brookville,5896,6,0,3,3,0
Dayton,Englewood,13504,19,0,1,7,11
Dayton,New Lebanon,3966,10,0,2,4,4
#N/A,#N/A,24939,22,0,8,7,7
#N/A,#N/A,7799,24,0,5,9,10
#N/A,#N/A,2876,2,0,0,0,2
Mahoning County,North Jackson,3658,1,0,0,0,1
#N/A,#N/A,3322,0,0,0,0,0
#N/A,#N/A,4193,8,0,3,0,5
#N/A,#N/A,0,1,0,0,1,0
#N/A,#N/A,201,0,0,0,0,0
Warren County,Springboro,1273,0,0,0,0,0
#N/A,#N/A,62832,237,2,36,96,103
#N/A,#N/A,1804,5,0,1,0,4
#N/A,#N/A,12996,29,0,5,0,24
#N/A,#N/A,2064,4,0,2,0,2
Muskingum County,Zanesville,25457,100,0,19,21,60
Muskingum County,Dresden,1707,0,0,0,0,0
Muskingum County,Frazeysburg,1294,1,0,0,0,1
Muskingum County,New Concord,2337,0,0,0,0,0
Muskingum County,Roseville,763,1,0,1,0,0
#N/A,#N/A,1970,1,0,0,0,1
#N/A,#N/A,0,1,0,0,0,1
#N/A,#N/A,52740,59,0,38,10,11
#N/A,#N/A,12577,1,0,1,0,0
Ottawa County,Oak Harbor,2731,1,0,1,0,0
Ottawa County,Port Clinton,5928,21,0,12,3,6
Ottawa County,Genoa,2276,1,0,0,0,1
Ottawa County,Put in Bay,135,0,0,0,0,0
#N/A,#N/A,3504,1,0,0,0,1
#N/A,#N/A,2085,2,1,0,0,1
#N/A,#N/A,19687,4,0,4,0,0
#N/A,#N/A,1147,1,0,1,0,0
#N/A,#N/A,13223,8,0,2,1,5
Muskingum County,Roseville,1083,3,0,1,1,1
Perry County,Crooksville,2491,0,0,0,0,0
Perry County,New Lexington,4716,11,0,6,1,4
#N/A,#N/A,709,0,0,0,0,0
#N/A,#N/A,803,1,0,0,0,1
#N/A,#N/A,641,0,0,0,0,0
Perry County,Somerset,1460,0,0,0,0,0
Perry County,Thornville,997,0,0,0,0,0
#N/A,#N/A,22534,12,0,5,3,4
Pickaway County,Circleville,13972,57,0,13,21,23
Pickaway County,Ashville,4211,3,1,0,1,1
#N/A,#N/A,1617,0,0,0,0,0
#N/A,#N/A,1884,0,0,0,0,0
#N/A,#N/A,35609,24,0,6,5,13
#N/A,#N/A,4357,4,1,0,0,3
#N/A,#N/A,2190,3,0,0,0,3
#N/A,#N/A,21592,33,2,12,2,17
Portage County,Aurora,15932,3,0,0,1,2
Portage County,Garrettsville,2321,0,0,0,0,0
Portage County,Kent,30270,44,0,1,11,32
Portage County,Windham,2199,4,0,0,0,4
#N/A,#N/A,460,0,0,0,0,0
Portage County,Hiram,1164,3,0,1,0,2
#N/A,#N/A,0,3,0,0,0,3
Portage County,Streetsboro,16308,11,0,2,5,4
#N/A,#N/A,10348,7,0,1,2,4
#N/A,#N/A,0,0,0,0,0,0
Portage County,Mogadore,1002,0,0,0,0,0
Summit County,Tallmadge,287,0,0,0,0,0
#N/A,#N/A,70629,62,0,10,6,46
Preble County,Camden,1951,0,0,0,0,0
#N/A,#N/A,855,0,0,0,0,0
Preble County,West Alexandria,1339,1,0,1,0,0
#N/A,#N/A,27117,24,2,6,0,16
Putnam County,Ottawa,4394,6,0,2,0,4
Putnam County,Columbus Grove,2077,0,0,0,0,0
Putnam County,Leipsic,2022,1,0,0,0,1
#N/A,#N/A,975,0,0,0,0,0
Putnam County,Pandora,1146,0,0,0,0,0
#N/A,#N/A,1569,1,0,0,0,1
#N/A,#N/A,20451,6,1,4,0,1
Richland County,Mansfield,46507,248,7,45,75,121
#N/A,#N/A,18,0,0,0,0,0
#N/A,#N/A,6058,8,0,0,7,1
#N/A,#N/A,912,0,0,0,0,0
Richland County,Shelby,8987,11,0,9,0,2
Richland County,Bellville,1864,0,0,0,0,0
Richland County,Lexington,4686,0,0,0,0,0
#N/A,#N/A,50986,57,0,15,15,27
Ross County,Chillicothe,21695,93,0,14,28,51
#N/A,#N/A,55325,104,0,39,8,57
Sandusky County,Clyde,6191,4,0,0,0,4
Sandusky County,Fremont,16241,31,1,2,12,16
#N/A,#N/A,27107,41,0,0,0,41
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,2134,7,0,0,3,4
#N/A,#N/A,20451,118,4,22,34,58
#N/A,#N/A,0,2,0,0,1,1
#N/A,#N/A,53141,49,0,20,7,22
Seneca County,Tiffin,17481,18,0,2,4,12
#N/A,#N/A,24732,51,2,5,44,0
Shelby County,Sidney,20466,42,3,24,9,6
Shelby County,Fort Loramie,1500,0,0,0,0,0
#N/A,#N/A,23719,22,1,4,1,16
Stark County,Canton,71031,836,16,97,188,535
Stark County,Massillon,32265,52,0,14,11,27
Stark County,Alliance,21803,75,0,14,11,50
Stark County,Brewster,2154,0,0,0,0,0
Stark County,Canal Fulton,5428,2,0,1,0,1
Stark County,East Canton,1589,0,0,0,0,0
Stark County,Hartville,3030,2,0,0,0,2
Stark County,Louisville,9373,2,0,0,0,2
Stark County,Minerva,1931,1,0,0,0,1
Stark County,Navarre,1901,1,0,0,0,1
Stark County,North Canton,17348,12,0,4,3,5
Stark County,Beach City,989,0,0,0,0,0
Stark County,North Lawrence,8273,9,2,2,0,5
Mahoning County,North Jackson,40624,58,1,14,24,19
#N/A,#N/A,3340,3,0,2,0,1
Stark County,Magnolia,714,1,0,1,0,0
#N/A,#N/A,118577,122,4,34,27,57
Summit County,Akron,197412,1377,42,209,395,731
Summit County,Barberton,26050,103,1,19,14,69
Summit County,Cuyahoga Falls,49145,49,2,18,8,21
Summit County,Hudson,22248,12,0,2,1,9
#N/A,#N/A,3059,5,0,0,1,4
Summit County,Macedonia,12027,5,0,1,1,3
Portage County,Mogadore,2827,0,0,0,0,0
Summit County,Northfield,3669,5,0,0,1,4
#N/A,#N/A,11994,9,0,4,0,5
Summit County,Stow,34692,32,1,19,6,6
Summit County,Tallmadge,17242,18,0,6,8,4
Summit County,Twinsburg,18891,18,2,0,4,12
Summit County,Munroe Falls,5051,1,0,0,0,1
Summit County,Peninsula,563,0,0,0,0,0
#N/A,#N/A,4235,2,0,1,1,0
#N/A,#N/A,9678,9,0,2,3,4
#N/A,#N/A,14434,32,0,8,11,13
Summit County,Copley,17280,15,1,1,2,11
#N/A,#N/A,0,6,0,5,0,1
#N/A,#N/A,14137,15,0,3,2,10
#N/A,#N/A,10951,0,0,0,0,0
#N/A,#N/A,51006,59,2,22,11,24
Trumbull County,Warren,39643,227,11,32,101,83
Trumbull County,Hubbard,7533,8,0,3,0,5
#N/A,#N/A,11556,30,0,2,5,23
Trumbull County,Newton Falls,4567,10,0,4,0,6
Trumbull County,Niles,18334,55,0,8,12,35
Trumbull County,Cortland,6844,1,0,0,1,0
#N/A,#N/A,480,0,0,0,0,0
#N/A,#N/A,16608,14,0,1,7,6
Trumbull County,Lordstown,3242,3,0,1,0,2
#N/A,#N/A,5614,6,0,1,0,5
#N/A,#N/A,5372,7,0,3,1,3
#N/A,#N/A,1978,0,0,0,0,0
#N/A,#N/A,5255,21,0,1,3,17
#N/A,#N/A,7962,6,1,3,1,1
#N/A,#N/A,26945,24,1,6,3,14
Tuscarawas County,Dennison,2625,2,0,0,0,2
#N/A,#N/A,12839,9,0,2,1,6
#N/A,#N/A,3767,3,1,0,1,1
#N/A,#N/A,17492,9,0,0,2,7
#N/A,#N/A,5372,5,0,3,1,1
#N/A,#N/A,986,0,0,0,0,0
#N/A,#N/A,1282,0,0,0,0,0
#N/A,#N/A,566,0,0,0,0,0
#N/A,#N/A,2689,1,0,0,1,0
#N/A,#N/A,1055,0,0,0,0,0
#N/A,#N/A,0,6,0,1,0,5
#N/A,#N/A,41002,22,1,8,3,10
Franklin County,Dublin,2510,1,0,1,0,0
Union County,Marysville,23622,17,1,4,3,9
#N/A,#N/A,26823,24,0,5,0,19
Allen County,Delphos,3052,3,0,3,0,0
Van Wert County,Van Wert,10713,22,1,7,3,11
#N/A,#N/A,14621,17,0,5,0,12
#N/A,#N/A,1636,1,0,0,1,0
#N/A,#N/A,11239,13,0,6,0,7
Butler County,Middletown,2759,14,0,2,5,7
#N/A,#N/A,144,0,0,0,0,0
Clermont County,Loveland,823,0,0,0,0,0
Warren County,Franklin,11779,31,1,6,13,11
#N/A,#N/A,557,0,0,0,0,0
Warren County,Lebanon,20741,4,0,0,1,3
Warren County,Mason,33406,12,0,5,3,4
#N/A,#N/A,5194,3,0,1,0,2
#N/A,#N/A,22916,3,0,1,0,2
Warren County,Maineville,1070,0,0,0,0,0
Warren County,Springboro,17359,10,0,5,0,5
#N/A,#N/A,15531,11,1,2,0,8
#N/A,#N/A,94645,60,1,15,10,34
Washington County,Belpre,6466,2,0,0,0,2
Washington County,Marietta,13582,23,0,11,2,10
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,37799,9,0,2,0,7
#N/A,#N/A,4,0,0,0,0,0
Wayne County,Orrville,8527,15,0,6,0,9
Wayne County,Rittman,6496,9,0,3,2,4
Wayne County,Wooster,27172,102,0,30,24,48
Wayne County,Apple Creek,1188,2,0,0,0,2
Wayne County,Creston,2097,1,0,0,0,1
Wayne County,Marshallville,761,1,0,1,0,0
Wayne County,Smithville,1277,1,0,1,0,0
#N/A,#N/A,61363,66,2,13,4,47
Williams County,Montpelier,3976,27,0,5,1,21
Williams County,Pioneer,1412,3,0,2,0,1
#N/A,#N/A,19588,4,0,0,1,3
Wood County,Bowling Green,31779,41,0,20,6,15
Wood County,North Baltimore,3546,10,0,2,0,8
Wood County,Perrysburg,21732,7,0,3,4,0
#N/A,#N/A,686,1,0,0,0,1
Wood County,Bradner,1024,1,0,0,0,1
Wood County,Northwood,5423,19,0,2,4,13
Wood County,Pemberville,1425,0,0,0,0,0
Wood County,Wayne,927,0,0,0,0,0
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,12784,5,0,1,0,4
#N/A,#N/A,29991,26,2,12,1,11
#N/A,#N/A,0,0,0,0,0,0
#N/A,#N/A,3566,1,0,0,0,1
#N/A,#N/A,6529,15,0,4,0,11
#N/A,#N/A,11177,2,0,0,0,2
