,Unnamed: 0,Unnamed: 0_x,County_x,City,2017 Population,2017 Violent Crime,2017 Murder,2017 Rape,2017 Robbery,2017 Aggravated Assault,Unnamed: 0_y,County_y,2016 Population,2016 Violent Crime,2016 Murder,2016 Rape,2016 Robbery,2016 Aggravated Assault,Unnamed: 0_x.1,County_x.1,2015 Population,2015 Violent Crime,2015 Murder,2015 Rape,2015 Robbery,2015 Aggravated Assault,Unnamed: 0_y.1,County_y.1,2014 Population,2014 Violent Crime,2014 Murder,2014 Rape,2014 Robbery,2014 Aggravated Assault,Unnamed: 0.1,County,2013 Population,2013 Violent Crime,2013 Murder,2013 Rape,2013 Robbery,2013 Aggravated Assault,RegionID,StateName,SizeRank,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2017 Median Price
59,157,281,Hamilton County,Norwood,19994,68,0,15,28,25,271.0,Hamilton County,20065.0,52.0,0.0,12.0,28.0,12.0,287.0,Hamilton County,19460.0,88.0,0.0,9.0,56.0,23.0,321.0,Hamilton County,19027.0,74.0,0.0,8.0,44.0,22.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,19698,Ohio,2213,0,0,0,0,993800,1568500
89,237,461,Dayton,Miamisburg,19928,14,0,4,2,8,454.0,Montgomery County,20000.0,20.0,0.0,4.0,12.0,4.0,467.0,Montgomery County,20064.0,18.0,0.0,6.0,6.0,6.0,524.0,Montgomery County,20109.0,34.0,0.0,9.0,13.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39769,Ohio,1182,1369700,1356700,1419100,1455600,1583400,1656000
64,176,345,Lake County,Painesville,19719,11,1,1,0,9,338.0,Lake County,19827.0,8.0,0.0,0.0,1.0,7.0,349.0,Lake County,19913.0,17.0,0.0,0.0,6.0,11.0,396.0,Lake County,20026.0,50.0,2.0,12.0,19.0,17.0,405.0,Lake County,19655.0,45.0,0.0,7.0,32.0,6.0,56162,Ohio,1121,0,0,0,0,745900,1421500
117,315,594,Summit County,Twinsburg,18891,18,2,0,4,12,586.0,Summit County,18888.0,20.0,1.0,1.0,5.0,13.0,599.0,Summit County,18849.0,22.0,1.0,1.0,3.0,17.0,677.0,Summit County,18882.0,5.0,0.0,1.0,2.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7510,Ohio,1960,0,0,0,0,1311400,2325600
14,68,122,Cuyahoga County,Berea,18871,8,0,1,1,6,121.0,Cuyahoga County,18805.0,11.0,0.0,2.0,5.0,4.0,131.0,Cuyahoga County,18945.0,9.0,0.0,0.0,8.0,1.0,149.0,Cuyahoga County,18981.0,19.0,0.0,2.0,10.0,7.0,149.0,Cuyahoga County,18939.0,18.0,0.0,3.0,4.0,11.0,10363,Ohio,2294,0,0,927600,1378900,1407800,1454800
58,152,269,Hamilton County,Forest Park,18665,50,1,7,20,22,259.0,Hamilton County,18669.0,47.0,0.0,9.0,21.0,17.0,275.0,Hamilton County,18726.0,57.0,0.0,15.0,21.0,21.0,307.0,Hamilton County,18724.0,57.0,1.0,11.0,32.0,13.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,52056,Ohio,2295,0,0,0,0,436100,1310400
119,323,610,Trumbull County,Niles,18334,55,0,8,12,35,603.0,Trumbull County,18538.0,53.0,1.0,8.0,21.0,23.0,615.0,Trumbull County,18667.0,59.0,1.0,3.0,32.0,23.0,695.0,Trumbull County,18848.0,64.0,0.0,4.0,36.0,24.0,714.0,Trumbull County,18950.0,51.0,0.0,2.0,30.0,19.0,19628,Ohio,2185,0,0,0,0,220800,693700
63,174,340,Lake County,Eastlake,18056,14,1,2,5,6,333.0,Lake County,18166.0,10.0,1.0,0.0,3.0,6.0,344.0,Lake County,18261.0,11.0,0.0,1.0,7.0,3.0,392.0,Lake County,18381.0,14.0,1.0,1.0,6.0,6.0,399.0,Lake County,18423.0,16.0,0.0,1.0,9.0,6.0,51827,Ohio,2333,0,0,878100,1087500,1282100,1266200
104,288,561,Seneca County,Tiffin,17481,18,0,2,4,12,554.0,Seneca County,17637.0,13.0,0.0,5.0,3.0,5.0,565.0,Seneca County,17690.0,19.0,0.0,1.0,2.0,16.0,641.0,Seneca County,17806.0,16.0,0.0,3.0,9.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16104,Ohio,1605,0,0,0,885700,1073600,1168900
96,337,651,Warren County,Springboro,17359,10,0,5,0,5,644.0,Warren County,17119.0,11.0,0.0,6.0,1.0,4.0,658.0,Warren County,16933.0,12.0,0.0,7.0,1.0,4.0,742.0,Warren County,16722.0,12.0,0.0,6.0,2.0,4.0,763.0,Warren County,16480.0,12.0,0.0,5.0,1.0,6.0,22553,Ohio,2070,0,0,0,0,2276600,2892600
109,301,576,Stark County,North Canton,17348,12,0,4,3,5,569.0,Stark County,17435.0,9.0,0.0,3.0,2.0,4.0,581.0,Stark County,17496.0,20.0,0.0,4.0,2.0,14.0,659.0,Stark County,17503.0,14.0,0.0,5.0,2.0,7.0,678.0,Stark County,17380.0,12.0,0.0,2.0,8.0,2.0,46783,Ohio,2635,119600,1485900,1566800,1405700,1571000,1608900
118,318,600,Summit County,Copley,17280,15,1,1,2,11,593.0,Summit County,17653.0,5.0,0.0,2.0,1.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,55314,Ohio,2393,0,0,0,780500,2040400,2151300
103,314,593,Summit County,Tallmadge,17242,18,0,6,8,4,585.0,Summit County,17213.0,23.0,0.0,4.0,9.0,10.0,598.0,Summit County,17230.0,17.0,0.0,8.0,4.0,5.0,676.0,Summit County,17254.0,23.0,0.0,10.0,3.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20745,Ohio,2396,0,1084600,1753500,1697000,1735400,1868000
17,74,130,Cuyahoga County,Fairview Park,16307,18,1,1,4,12,129.0,Cuyahoga County,16318.0,32.0,0.0,0.0,6.0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8640,Ohio,2499,1567000,1486600,1639500,1659700,1743200,1842600
99,266,519,Portage County,Aurora,15932,3,0,0,1,2,511.0,Portage County,15897.0,11.0,0.0,2.0,5.0,4.0,524.0,Portage County,15783.0,6.0,0.0,3.0,0.0,3.0,593.0,Portage County,15586.0,9.0,0.0,1.0,1.0,7.0,611.0,Portage County,15457.0,9.0,0.0,1.0,3.0,5.0,16847,Ohio,2582,0,1550400,2769000,2825100,2833800,3072800
12,66,119,Cuyahoga County,Bay Village,15327,2,0,1,0,1,117.0,Cuyahoga County,15346.0,2.0,0.0,1.0,0.0,1.0,126.0,Cuyahoga County,15387.0,7.0,0.0,0.0,2.0,5.0,144.0,Cuyahoga County,15435.0,3.0,0.0,0.0,0.0,3.0,145.0,Cuyahoga County,15435.0,0.0,0.0,0.0,0.0,0.0,50898,Ohio,2897,2293200,2249900,2235700,2374600,2561000,2641300
92,242,465,Dayton,Vandalia,15022,26,0,10,11,5,458.0,Montgomery County,15073.0,14.0,0.0,2.0,9.0,3.0,471.0,Montgomery County,15106.0,26.0,0.0,6.0,11.0,9.0,528.0,Montgomery County,15151.0,19.0,0.0,5.0,10.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,50571,Ohio,2710,0,0,0,0,1026000,1465800
49,125,211,Franklin County,Worthington,14692,11,2,2,3,4,205.0,Franklin County,14689.0,5.0,0.0,0.0,4.0,1.0,214.0,Franklin County,14594.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,55262,Ohio,2618,2469800,2548600,2703500,2810900,3270600,3419100
98,264,511,Pickaway County,Circleville,13972,57,0,13,21,23,503.0,Pickaway County,13930.0,37.0,0.0,5.0,12.0,20.0,516.0,Pickaway County,13482.0,39.0,1.0,10.0,13.0,15.0,584.0,Pickaway County,13469.0,34.0,0.0,17.0,7.0,10.0,602.0,Pickaway County,13491.0,23.0,0.0,12.0,4.0,7.0,44601,Ohio,3090,0,0,0,0,714200,1455200
75,198,383,Lucas County,Maumee,13809,5,0,0,3,2,375.0,Lucas County,13875.0,15.0,0.0,8.0,3.0,4.0,388.0,Lucas County,13978.0,14.0,0.0,1.0,5.0,8.0,437.0,Lucas County,14062.0,18.0,0.0,4.0,7.0,7.0,452.0,Lucas County,14081.0,12.0,0.0,5.0,3.0,4.0,43407,Ohio,1736,1694700,1797100,1866200,1866100,1887700,2064600
19,78,137,Cuyahoga County,Lyndhurst,13586,18,0,0,7,11,135.0,Cuyahoga County,13624.0,14.0,0.0,5.0,6.0,3.0,145.0,Cuyahoga County,13672.0,9.0,0.0,0.0,3.0,6.0,163.0,Cuyahoga County,13744.0,6.0,0.0,1.0,2.0,3.0,165.0,Cuyahoga County,13769.0,5.0,0.0,2.0,0.0,3.0,8823,Ohio,2796,1248000,1241900,1338200,1265800,1345300,1410200
94,246,469,Dayton,Englewood,13504,19,0,1,7,11,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,Montgomery County,13450.0,18.0,0.0,11.0,4.0,3.0,532.0,Montgomery County,13466.0,25.0,1.0,4.0,9.0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,51911,Ohio,3005,0,1044800,1215000,1304100,1296700,1408600
91,240,463,Dayton,Clayton,13149,5,0,0,4,1,469.0,Montgomery County,4217.0,2.0,0.0,2.0,0.0,0.0,469.0,Montgomery County,13156.0,8.0,1.0,0.0,6.0,1.0,526.0,Montgomery County,13209.0,7.0,0.0,2.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4119,Ohio,2562,331500,1259100,1329100,1327500,1406700,1475300
90,239,463,Dayton,Clayton,13149,5,0,0,4,1,456.0,Montgomery County,13129.0,6.0,0.0,0.0,3.0,3.0,469.0,Montgomery County,13156.0,8.0,1.0,0.0,6.0,1.0,526.0,Montgomery County,13209.0,7.0,0.0,2.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4119,Ohio,2562,331500,1259100,1329100,1327500,1406700,1475300
28,93,170,Delaware County,Powell,13029,6,0,2,2,2,166.0,Delaware County,13273.0,0.0,0.0,0.0,0.0,0.0,176.0,Delaware County,12759.0,6.0,0.0,0.0,2.0,4.0,200.0,Delaware County,12410.0,2.0,0.0,0.0,0.0,2.0,201.0,Delaware County,12093.0,2.0,0.0,0.0,0.0,2.0,42925,Ohio,1306,3466800,3524700,3916500,3936300,3969800,4087100
93,244,467,Dayton,West Carrollton,12898,23,1,5,11,6,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,473.0,Montgomery County,12983.0,38.0,0.0,14.0,17.0,7.0,530.0,Montgomery County,13028.0,27.0,0.0,5.0,17.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7832,Ohio,2921,0,0,0,0,0,712300
65,177,347,Lake County,Wickliffe,12679,9,0,0,4,5,340.0,Lake County,12506.0,17.0,0.0,0.0,9.0,8.0,351.0,Lake County,12545.0,2.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,407.0,Lake County,12635.0,0.0,0.0,0.0,0.0,0.0,7932,Ohio,2887,0,0,0,338500,1155900,1243300
13,67,120,Cuyahoga County,Bedford,12641,25,1,1,16,7,118.0,Cuyahoga County,12678.0,30.0,0.0,1.0,18.0,11.0,128.0,Cuyahoga County,12744.0,26.0,0.0,3.0,11.0,12.0,146.0,Cuyahoga County,12831.0,24.0,0.0,4.0,10.0,10.0,147.0,Cuyahoga County,12858.0,31.0,0.0,7.0,11.0,13.0,50933,Ohio,2881,0,0,453000,668500,692000,822700
57,149,261,Hamilton County,Blue Ash,12248,16,2,2,4,8,252.0,Hamilton County,12169.0,11.0,0.0,4.0,4.0,3.0,268.0,Hamilton County,12159.0,23.0,0.0,8.0,12.0,3.0,300.0,Hamilton County,12146.0,8.0,0.0,4.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44208,Ohio,2889,0,0,0,0,1440200,2985100
69,189,373,Lorain County,Amherst,12090,5,0,0,2,3,365.0,Lorain County,12156.0,7.0,0.0,1.0,3.0,3.0,378.0,Lorain County,12171.0,5.0,0.0,0.0,5.0,0.0,426.0,Lorain County,12133.0,3.0,0.0,1.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36612,Ohio,2574,1027800,1622500,1520200,1752700,1675600,1780700
114,310,588,Summit County,Macedonia,12027,5,0,1,1,3,580.0,Summit County,11794.0,8.0,0.0,1.0,4.0,3.0,593.0,Summit County,11687.0,2.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5746,Ohio,3055,0,1411800,2146200,2209600,2159000,2284100
61,159,283,Hamilton County,Springdale,11203,0,0,0,0,0,272.0,Hamilton County,11175.0,7.0,0.0,0.0,3.0,4.0,288.0,Hamilton County,11211.0,34.0,1.0,4.0,19.0,10.0,322.0,Hamilton County,11216.0,55.0,0.0,10.0,40.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,36194,Ohio,3062,0,0,0,0,0,1346000
50,127,216,Franklin County,New Albany,10670,4,0,2,0,2,210.0,Franklin County,10210.0,5.0,0.0,2.0,1.0,2.0,220.0,Franklin County,9531.0,5.0,0.0,1.0,1.0,3.0,245.0,Franklin County,9052.0,3.0,0.0,0.0,0.0,3.0,249.0,Franklin County,8743.0,2.0,0.0,0.0,0.0,2.0,39963,Ohio,2860,1984700,4896800,4655800,5024200,5159200,5888300
60,158,282,Hamilton County,Reading,10307,28,1,4,7,16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20114,Ohio,3122,0,0,0,312100,1434000,1429100
76,203,397,Madison County,London,10202,14,0,2,2,10,388.0,Madison County,10092.0,7.0,0.0,2.0,2.0,3.0,400.0,Madison County,10094.0,20.0,0.0,6.0,5.0,9.0,449.0,Madison County,9996.0,14.0,0.0,6.0,1.0,7.0,463.0,Madison County,9867.0,16.0,0.0,3.0,4.0,9.0,39491,Ohio,3376,0,0,0,0,1048300,1535600
84,229,449,Miami County,Tipp City,9957,4,0,4,0,0,442.0,Miami County,9941.0,7.0,0.0,1.0,1.0,5.0,455.0,Miami County,9900.0,8.0,0.0,1.0,6.0,1.0,510.0,Miami County,9839.0,5.0,0.0,1.0,2.0,2.0,526.0,Miami County,9799.0,9.0,0.0,4.0,3.0,2.0,16122,Ohio,2362,0,0,0,474300,2010800,2041300
9,155,275,Clermont County,Loveland,9953,10,0,5,1,4,90.0,Clermont County,2036.0,0.0,0.0,0.0,0.0,0.0,97.0,Clermont County,2002.0,0.0,0.0,0.0,0.0,0.0,112.0,Clermont County,1981.0,1.0,0.0,0.0,0.0,1.0,110.0,Clermont County,1959.0,1.0,0.0,1.0,0.0,0.0,5710,Ohio,760,0,0,0,0,0,1630000
108,298,573,Stark County,Louisville,9373,2,0,0,0,2,566.0,Stark County,9115.0,14.0,0.0,2.0,2.0,10.0,578.0,Stark County,9139.0,14.0,0.0,7.0,1.0,6.0,656.0,Stark County,9150.0,12.0,0.0,3.0,1.0,8.0,675.0,Stark County,9143.0,6.0,0.0,0.0,2.0,4.0,46320,Ohio,2146,116200,1382300,1480300,1459100,1474000,1579200
42,180,358,Franklin County,Reynoldsburg,9137,25,0,6,12,7,201.0,Franklin County,27474.0,61.0,5.0,6.0,26.0,24.0,210.0,Franklin County,27084.0,6.0,0.0,2.0,2.0,2.0,236.0,Franklin County,26889.0,42.0,0.0,14.0,14.0,14.0,239.0,Franklin County,26729.0,52.0,1.0,5.0,35.0,11.0,40554,Ohio,1212,0,0,0,702300,1790800,1931900
73,194,378,Lorain County,Sheffield Lake,8983,7,0,5,2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,Lorain County,9039.0,2.0,0.0,0.0,1.0,1.0,430.0,Lorain County,9051.0,6.0,0.0,3.0,2.0,1.0,445.0,Lorain County,9050.0,6.0,0.0,3.0,2.0,1.0,7042,Ohio,3350,0,0,0,0,297400,1216300
22,81,143,Cuyahoga County,Olmsted Falls,8898,3,0,1,1,1,140.0,Cuyahoga County,8859.0,3.0,0.0,0.0,0.0,3.0,150.0,Cuyahoga County,8851.0,3.0,0.0,0.0,0.0,3.0,168.0,Cuyahoga County,8901.0,3.0,0.0,0.0,0.0,3.0,170.0,Cuyahoga County,8910.0,1.0,0.0,0.0,0.0,1.0,56087,Ohio,1993,0,0,892600,1710500,1802200,1944100
32,95,174,Franklin County,Westerville,8531,9,0,3,3,3,203.0,Franklin County,30397.0,16.0,0.0,5.0,7.0,4.0,212.0,Franklin County,27775.0,14.0,0.0,8.0,6.0,0.0,238.0,Franklin County,29630.0,22.0,0.0,7.0,12.0,3.0,241.0,Franklin County,29306.0,11.0,0.0,4.0,5.0,2.0,14584,Ohio,635,2481300,2522500,2654500,2626400,2845000,3144600
2,16,29,Auglaize County,Saint Marys,8215,3,0,0,1,2,30.0,Auglaize County,8256.0,5.0,0.0,0.0,2.0,3.0,35.0,Auglaize County,8243.0,4.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20310,Ohio,2932,0,0,799900,1020100,1213200,1209400
79,210,407,Mahoning County,Canfield,7246,3,0,1,0,2,399.0,Mahoning County,7323.0,1.0,0.0,1.0,0.0,0.0,411.0,Mahoning County,8439.0,4.0,0.0,1.0,1.0,2.0,461.0,Mahoning County,7386.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10694,Ohio,1988,0,0,0,0,568700,2092800
34,96,176,Erie County,Huron,6950,4,0,1,1,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,Erie County,7080.0,3.0,0.0,1.0,1.0,1.0,49201,Ohio,3227,0,0,0,0,1500300,1933700
120,324,611,Trumbull County,Cortland,6844,1,0,0,1,0,604.0,Trumbull County,6894.0,1.0,0.0,0.0,0.0,1.0,616.0,Trumbull County,6931.0,3.0,0.0,2.0,0.0,1.0,696.0,Trumbull County,6999.0,2.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,55335,Ohio,2477,0,0,0,0,410700,1363800
97,256,494,Ottawa County,Port Clinton,5928,21,0,12,3,6,487.0,Ottawa County,5939.0,13.0,0.0,8.0,2.0,3.0,502.0,Ottawa County,5998.0,20.0,0.0,13.0,0.0,7.0,563.0,Ottawa County,6029.0,22.0,1.0,4.0,3.0,14.0,580.0,Ottawa County,6046.0,16.0,0.0,6.0,2.0,8.0,26587,Ohio,3135,0,0,652800,1520000,1604400,1526200
36,188,372,Lorain County,Vermilion,5778,2,0,1,0,1,364.0,Lorain County,5783.0,2.0,0.0,0.0,0.0,2.0,377.0,Lorain County,5808.0,3.0,0.0,1.0,0.0,2.0,425.0,Lorain County,5804.0,6.0,0.0,2.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7677,Ohio,2773,0,0,611400,1521400,1702500,1587100
107,295,570,Stark County,Canal Fulton,5428,2,0,1,0,1,563.0,Stark County,5489.0,2.0,0.0,2.0,0.0,0.0,575.0,Stark County,5497.0,5.0,0.0,1.0,0.0,4.0,653.0,Stark County,5506.0,4.0,0.0,1.0,0.0,3.0,672.0,Stark County,5486.0,1.0,0.0,0.0,0.0,1.0,17277,Ohio,2900,0,0,0,0,0,1160400
52,133,233,Geauga County,Chardon,5199,10,0,1,0,9,227.0,Geauga County,5162.0,7.0,0.0,0.0,0.0,7.0,242.0,Geauga County,5195.0,4.0,0.0,0.0,0.0,4.0,270.0,Geauga County,5193.0,4.0,0.0,1.0,1.0,2.0,277.0,Geauga County,5172.0,6.0,0.0,0.0,0.0,6.0,8165,Ohio,2000,2272000,2180700,2436800,2261100,2433200,2563400
67,183,363,Licking County,Johnstown,5025,2,0,1,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,Licking County,4926.0,5.0,0.0,0.0,0.0,5.0,414.0,Licking County,4876.0,3.0,0.0,0.0,0.0,3.0,426.0,Licking County,4862.0,3.0,0.0,1.0,1.0,1.0,12137,Ohio,2942,0,0,2499200,2910500,2375500,2588200
35,98,178,Lorain County,Vermilion,4603,1,0,0,0,1,364.0,Lorain County,5783.0,2.0,0.0,0.0,0.0,2.0,377.0,Lorain County,5808.0,3.0,0.0,1.0,0.0,2.0,425.0,Lorain County,5804.0,6.0,0.0,2.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7677,Ohio,2773,0,0,611400,1521400,1702500,1587100
29,94,173,Franklin County,Dublin,4534,3,0,1,1,1,196.0,Franklin County,38892.0,20.0,0.0,8.0,5.0,7.0,206.0,Franklin County,38074.0,21.0,0.0,7.0,8.0,6.0,232.0,Franklin County,37361.0,7.0,0.0,0.0,6.0,1.0,234.0,Franklin County,36712.0,9.0,0.0,1.0,7.0,1.0,4426,Ohio,851,0,0,0,0,0,2323100
115,312,590,Summit County,Northfield,3669,5,0,0,1,4,582.0,Summit County,3630.0,2.0,0.0,0.0,1.0,1.0,595.0,Summit County,3636.0,2.0,0.0,1.0,0.0,1.0,673.0,Summit County,3653.0,8.0,1.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13043,Ohio,2187,0,1600700,1880600,1885900,1849200,2040900
31,327,633,Franklin County,Dublin,2510,1,0,1,0,0,196.0,Franklin County,38892.0,20.0,0.0,8.0,5.0,7.0,206.0,Franklin County,38074.0,21.0,0.0,7.0,8.0,6.0,232.0,Franklin County,37361.0,7.0,0.0,0.0,6.0,1.0,234.0,Franklin County,36712.0,9.0,0.0,1.0,7.0,1.0,4426,Ohio,851,0,0,0,0,0,2323100
5,34,58,Butler County,Oxford,2181,2,0,0,0,2,58.0,Butler County,22197.0,23.0,1.0,3.0,4.0,15.0,63.0,Butler County,21816.0,70.0,1.0,4.0,7.0,58.0,72.0,Butler County,21426.0,57.0,0.0,12.0,5.0,40.0,71.0,Butler County,21338.0,47.0,0.0,3.0,9.0,35.0,33291,Ohio,1688,0,0,893300,1918500,1990700,2107900
8,50,90,Clermont County,Loveland,2070,2,0,1,0,1,90.0,Clermont County,2036.0,0.0,0.0,0.0,0.0,0.0,97.0,Clermont County,2002.0,0.0,0.0,0.0,0.0,0.0,112.0,Clermont County,1981.0,1.0,0.0,0.0,0.0,1.0,110.0,Clermont County,1959.0,1.0,0.0,1.0,0.0,0.0,5710,Ohio,760,0,0,0,0,0,1630000
95,249,479,Warren County,Springboro,1273,0,0,0,0,0,644.0,Warren County,17119.0,11.0,0.0,6.0,1.0,4.0,658.0,Warren County,16933.0,12.0,0.0,7.0,1.0,4.0,742.0,Warren County,16722.0,12.0,0.0,6.0,2.0,4.0,763.0,Warren County,16480.0,12.0,0.0,5.0,1.0,6.0,22553,Ohio,2070,0,0,0,0,2276600,2892600
0,8,19,Ashtabula County,Geneva,1199,7,0,3,1,3,21.0,Ashtabula County,1207.0,7.0,1.0,2.0,0.0,4.0,25.0,Ashtabula,1212.0,4.0,0.0,0.0,0.0,4.0,29.0,Ashtabula County,1220.0,5.0,0.0,0.0,0.0,5.0,28.0,Ashtabula County,1265.0,0.0,0.0,0.0,0.0,0.0,52194,Ohio,2836,0,0,0,0,0,770200
86,232,452,Dayton,Huber Heights,995,2,0,0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18647,Ohio,1218,0,876400,996800,1073700,1183100,1272400
40,108,193,Franklin County,Reynoldsburg,936,3,0,1,1,1,201.0,Franklin County,27474.0,61.0,5.0,6.0,26.0,24.0,210.0,Franklin County,27084.0,6.0,0.0,2.0,2.0,2.0,236.0,Franklin County,26889.0,42.0,0.0,14.0,14.0,14.0,239.0,Franklin County,26729.0,52.0,1.0,5.0,35.0,11.0,40554,Ohio,1212,0,0,0,702300,1790800,1931900
10,332,643,Clermont County,Loveland,823,0,0,0,0,0,90.0,Clermont County,2036.0,0.0,0.0,0.0,0.0,0.0,97.0,Clermont County,2002.0,0.0,0.0,0.0,0.0,0.0,112.0,Clermont County,1981.0,1.0,0.0,0.0,0.0,1.0,110.0,Clermont County,1959.0,1.0,0.0,1.0,0.0,0.0,5710,Ohio,760,0,0,0,0,0,1630000
102,274,530,Summit County,Tallmadge,287,0,0,0,0,0,585.0,Summit County,17213.0,23.0,0.0,4.0,9.0,10.0,598.0,Summit County,17230.0,17.0,0.0,8.0,4.0,5.0,676.0,Summit County,17254.0,23.0,0.0,10.0,3.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20745,Ohio,2396,0,1084600,1753500,1697000,1735400,1868000
51,181,359,Franklin County,New Albany,168,0,0,0,0,0,210.0,Franklin County,10210.0,5.0,0.0,2.0,1.0,2.0,220.0,Franklin County,9531.0,5.0,0.0,1.0,1.0,3.0,245.0,Franklin County,9052.0,3.0,0.0,0.0,0.0,3.0,249.0,Franklin County,8743.0,2.0,0.0,0.0,0.0,2.0,39963,Ohio,2860,1984700,4896800,4655800,5024200,5159200,5888300
39,114,199,Fairfield County,Pickerington,76,0,0,0,0,0,186.0,Fairfield County,19964.0,16.0,0.0,0.0,10.0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,42802,Ohio,1294,1510200,2065800,2292400,2283300,2466800,2685000
54,142,251,Dayton,Centerville,2,0,0,0,0,0,450.0,Montgomery County,23851.0,13.0,0.0,0.0,3.0,10.0,463.0,Montgomery County,23886.0,14.0,0.0,2.0,6.0,6.0,520.0,Montgomery County,23947.0,23.0,0.0,3.0,5.0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10764,Ohio,2013,1632300,1842400,1873600,1770600,1963900,1979400
