County,City,POPULATION,VIOLENT CRIME,MURDER,FORCIBLE RAPE,ROBBERY,AGG ASSAULT
#N/A,#N/A,,,,,,
#N/A,#N/A,,1,,,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,,277,5,14,8,250
#N/A,#N/A,,,,,,
#N/A,#N/A,2016,1,,1,,
#N/A,#N/A,1776,1,,,,1
#N/A,#N/A,942,,,,,
#N/A,#N/A,19441,13,,2,1,10
#N/A,#N/A,,,,,,
Allen County,Lima,38691,466,6,51,101,308
Allen County,Bluffton,3945,5,,1,1,3
Allen County,Delphos,3929,3,,2,1,
#N/A,#N/A,3716,,,,,
Allen County,Spencerville,2218,,,,,
Allen County,Elida,1900,,,,,
#N/A,#N/A,8686,4,,,2,2
#N/A,#N/A,12444,4,,,1,3
#N/A,#N/A,3522,,,,,
#N/A,#N/A,2771,,,,,
#N/A,#N/A,24265,69,2,18,12,37
#N/A,#N/A,,,,,,
Ashland County,Ashland,20366,19,,9,3,7
Ashland County,Loudonville,2587,3,,,1,2
,,29331,12,,6,,6
#N/A,#N/A,,,,,,
Ashtabula County,Conneaut,12823,21,,,6,15
Ashtabula County,Geneva,1286,5,,2,,3
Ashtabula County,Roaming Shores,1507,1,,,1,
Ashtabula County,Ashtabula,51589,65,2,10,10,43
#N/A,#N/A,,,,,,
Athens County,Athens,23834,15,,1,8,6
Athens County,Glouster,1791,2,,,2,
Athens County,Nelsonville,5393,3,,,2,1
Athens County,Albany,829,,,,,
#N/A,#N/A,542,1,,,,1
#N/A,#N/A,,12,,6,2,4
Athens County,Coolville,495,,,,,
,,31401,19,,5,6,8
#N/A,#N/A,,,,,,
Auglaize County,Wapakoneta,9842,11,,,2,9
#N/A,#N/A,1848,1,,,,1
#N/A,#N/A,845,,,,,
#N/A,#N/A,17888,4,,1,,3
#N/A,#N/A,,,,,,
Belmont County,Barnesville,4178,,,,,
#N/A,#N/A,4262,,,,,
#N/A,#N/A,1824,,,,,
Belmont County,Martins Ferry,6890,3,,,,3
Belmont County,Powhatan Point,1586,2,,,,2
#N/A,#N/A,3771,,,,,
Belmont County,Saint Clairsville,5166,2,,1,,1
#N/A,#N/A,1252,,,,,
#N/A,#N/A,9762,1,,,,1
#N/A,#N/A,30276,21,,4,3,14
#N/A,#N/A,,,,,,
Brown County,Georgetown,4470,4,,,1,3
#N/A,#N/A,559,1,,,,1
Brown County,Sardinia,976,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,33063,2,,,1,1
#N/A,#N/A,,,,,,
#N/A,#N/A,42727,146,4,7,28,107
#N/A,#N/A,62791,372,3,89,157,123
#N/A,#N/A,46228,338,1,29,77,231
#N/A,#N/A,14715,52,1,5,4,42
#N/A,#N/A,2261,,,,,
#N/A,#N/A,21443,63,,11,2,50
#N/A,#N/A,11930,,,,,
#N/A,#N/A,2110,,,,,
#N/A,#N/A,58897,54,,28,12,14
#N/A,#N/A,8396,,,,,
#N/A,#N/A,,13,,11,,2
#N/A,#N/A,21484,19,,2,4,13
#N/A,#N/A,2376,2,,1,1,
#N/A,#N/A,74618,315,1,7,11,296
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
Carroll County,Carrollton,3242,10,,,,10
#N/A,#N/A,1774,1,,,,1
#N/A,#N/A,265,,,,,
#N/A,#N/A,23499,45,,1,,44
#N/A,#N/A,,,,,,
#N/A,#N/A,1632,1,,,,1
#N/A,#N/A,11706,17,1,3,3,10
#N/A,#N/A,2074,1,,,,1
#N/A,#N/A,24380,14,,,1,13
#N/A,#N/A,,,,,,
Clark County,Springfield,60329,373,5,38,178,152
Clark County,Enon,2404,,,,,
Clark County,South Charleston,1685,,,,,
#N/A,#N/A,372,,,,,
Clark County,South Vienna,381,,,,,
#N/A,#N/A,7079,2,,,2,
#N/A,#N/A,65131,28,,7,2,19
#N/A,#N/A,,,,,,
Clermont County,Batavia,1524,2,,2,,
Clermont County,Bethel,2735,2,,1,,1
Clermont County,Milford,6739,16,,,3,13
Clermont County,Amelia,4844,1,,,,1
Clermont County,Felicity,825,,,,,
Clermont County,New Richmond,2605,1,,1,,
#N/A,#N/A,396,,,,,
#N/A,#N/A,802,,,,,
Clermont County,Williamsburg,2512,,,,,
Clermont County,Goshen,15644,6,,5,,1
#N/A,#N/A,41213,14,1,3,4,6
#N/A,#N/A,46833,36,1,9,17,9
#N/A,#N/A,11313,7,,1,4,2
Clermont County,Loveland,1958,,,,,
#N/A,#N/A,59183,64,,11,3,50
#N/A,#N/A,,,,,,
Clinton County,Blanchester,4231,1,,,,1
Clinton County,New Vienna,1220,,,,,
Clinton County,Sabina,2557,2,,,1,1
Clinton County,Wilmington,12487,8,,3,3,2
#N/A,#N/A,21427,10,,4,,6
#N/A,#N/A,,,,,,
Columbiana County,East Liverpool,11198,9,,3,3,3
Columbiana County,East Palestine,4708,3,,,1,2
Columbiana County,Salem,12265,4,,1,1,2
#N/A,#N/A,1307,2,,1,,1
#N/A,#N/A,4005,2,1,1,,
#N/A,#N/A,7936,,,,,
#N/A,#N/A,4541,,,,,
#N/A,#N/A,2,,,,,
#N/A,#N/A,47863,14,1,1,1,11
#N/A,#N/A,,,,,,
Coshocton County,West Lafayette,2323,,,,,
#N/A,#N/A,34620,19,,,5,14
#N/A,#N/A,,,,,,
#N/A,#N/A,4571,11,,1,2,8
#N/A,#N/A,10415,11,,2,3,6
#N/A,#N/A,957,2,,,1,1
#N/A,#N/A,15191,8,,1,,7
#N/A,#N/A,,,,,,
Cuyahoga County,Cleveland,393781,5469,85,373,3257,1754
#N/A,#N/A,,,,,,
Cuyahoga County,Bay Village,15527,,,,,
#N/A,#N/A,11866,32,,1,2,29
Cuyahoga County,Bedford,12971,29,,1,14,14
#N/A,#N/A,10665,41,,4,18,19
Cuyahoga County,Berea,18959,7,,,1,6
#N/A,#N/A,1188,,,,,
Cuyahoga County,Brecksville,13554,4,,,,4
Cuyahoga County,Broadview Heights,19246,4,,,,4
#N/A,#N/A,11081,35,2,5,15,13
Cuyahoga County,Brook Park,19062,10,,3,2,5
#N/A,#N/A,4081,3,,,2,1
Cuyahoga County,Cleveland Heights,45761,168,,10,110,48
#N/A,#N/A,17704,88,,4,,84
Cuyahoga County,Euclid,48538,92,,12,34,46
Cuyahoga County,Garfield Heights,28623,78,6,9,33,30
Cuyahoga County,Gates Mills,2251,1,,1,,
#N/A,#N/A,916,,,,,
#N/A,#N/A,8279,2,,,2,
#N/A,#N/A,585,,,,,
#N/A,#N/A,7070,10,,2,,8
Cuyahoga County,Lakewood,51721,65,3,3,34,25
Cuyahoga County,Lyndhurst,13892,1,,1,,
#N/A,#N/A,19004,12,,,4,8
#N/A,#N/A,3434,2,,,,2
#N/A,#N/A,3294,,,,,
Cuyahoga County,North Olmsted,32461,21,,3,6,12
#N/A,#N/A,13407,2,,1,,1
Cuyahoga County,Olmsted Falls,8953,11,,,3,8
#N/A,#N/A,3297,2,,,1,1
Cuyahoga County,Parma,80963,58,,4,15,39
Cuyahoga County,Parma Heights,20557,33,,13,8,12
#N/A,#N/A,5934,,,,,
Cuyahoga County,Richmond Heights,10464,15,,2,10,3
Cuyahoga County,Seven Hills,11718,2,,1,,1
Cuyahoga County,Shaker Heights,28224,34,,4,28,2
Cuyahoga County,Solon,23165,7,,,1,6
Cuyahoga County,South Euclid,22125,34,2,4,24,4
Cuyahoga County,Strongsville,44397,13,,6,5,2
#N/A,#N/A,13444,16,,2,10,4
#N/A,#N/A,2263,,,,,
#N/A,#N/A,13436,47,,5,32,10
#N/A,#N/A,1125,1,,,,1
Cuyahoga County,Westlake,32477,,,,,
#N/A,#N/A,876,3,,,,3
#N/A,#N/A,,,,,,
#N/A,#N/A,178,2,,,1,1
#N/A,#N/A,,3,,,2,1
#N/A,#N/A,,3,,,3,
#N/A,#N/A,,,,,,
#N/A,#N/A,13188,54,,3,9,42
Darke County,Arcanum,2123,2,,1,,1
#N/A,#N/A,1662,,,,,
#N/A,#N/A,33773,14,,2,3,9
#N/A,#N/A,,,,,,
3318,Defiance,16621,26,,12,4,10
10615,Hicksville,3568,1,,,,1
#N/A,#N/A,18693,6,,5,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,7418,48,1,6,30,11
#N/A,#N/A,35539,53,,17,23,13
Delaware County,Powell,11776,,,,,
#N/A,#N/A,698,2,,,,2
#N/A,#N/A,23643,2,,,,2
#N/A,#N/A,4114,1,,,1,
#N/A,#N/A,7974,3,,1,2,
#N/A,#N/A,82016,25,1,8,3,13
#N/A,#N/A,,,,,,
Erie County,Huron,7118,15,,1,,14
Erie County,Sandusky,25680,80,5,11,26,38
#N/A,#N/A,4721,5,,,3,2
#N/A,#N/A,630,1,,,1,
Erie County,Berlin Heights,711,,,,,
Erie County,Milan,1001,,,,,
#N/A,#N/A,12150,2,,,1,1
#N/A,#N/A,24423,28,,,,28
#N/A,#N/A,,,,,,
#N/A,#N/A,9727,57,1,7,36,13
Fairfield County,Lancaster,39024,92,2,21,39,30
Fairfield County,Baltimore,2985,1,,,,1
Fairfield County,Carroll,526,,,,,
Fairfield County,Lithopolis,1080,,,,,
Fairfield County,Millersport,1050,,,,,
Fairfield County,Pickerington,18320,,,,,
Fairfield County,Sugar Grove,428,,,,,
#N/A,#N/A,916,2,,,1,1
#N/A,#N/A,72986,26,,9,10,7
#N/A,#N/A,,,,,,
Fayette County,Washington Court House,14168,20,,4,5,11
#N/A,#N/A,14815,24,,2,11,11
#N/A,#N/A,,,,,,
Franklin County,Columbus,780239,4703,69,577,2965,1092
#N/A,#N/A,32,,,,,
#N/A,#N/A,87,,,,,
#N/A,#N/A,,1,,1,,
Franklin County,Bexley,13220,14,,1,11,2
Franklin County,Dublin,35840,14,1,1,7,5
Franklin County,Gahanna,33692,23,1,9,5,8
Franklin County,Grandview Heights,6625,1,,,1,
Franklin County,Grove City,36050,38,1,12,21,4
Franklin County,Hilliard,28814,20,,1,15,4
Franklin County,Reynoldsburg,26509,65,2,5,42,16
Franklin County,Upper Arlington,34221,9,,,8,1
Franklin County,Westerville,28689,10,,2,7,1
Franklin County,Whitehall,18305,164,1,13,107,43
Franklin County,Worthington,13754,4,,,2,2
#N/A,#N/A,,,,,,
Franklin County,Groveport,5435,2,,,1,1
#N/A,#N/A,325,,,,,
#N/A,#N/A,1288,1,,,1,
Franklin County,New Albany,7808,2,,,,2
#N/A,#N/A,,14,,9,4,1
#N/A,#N/A,7892,13,,1,7,5
#N/A,#N/A,4164,20,1,2,11,6
#N/A,#N/A,2496,10,1,2,6,1
#N/A,#N/A,3684,,,,,
#N/A,#N/A,18270,16,,,7,9
#N/A,#N/A,2427,4,,,2,2
#N/A,#N/A,,1,,,1,
#N/A,#N/A,,1,,,,1
#N/A,#N/A,,,,,,
#N/A,#N/A,68231,130,2,6,64,58
#N/A,#N/A,,,,,,
Fulton County,Delta,3088,,,,,
#N/A,#N/A,1278,2,,2,,
Fulton County,Swanton,3565,,,,,
Fulton County,Wauseon,7301,6,,2,1,3
#N/A,#N/A,22948,24,1,3,,20
#N/A,#N/A,,,,,,
#N/A,#N/A,3644,8,,1,3,4
#N/A,#N/A,835,2,,,,2
#N/A,#N/A,,,,,,
#N/A,#N/A,26357,18,2,4,7,5
#N/A,#N/A,,,,,,
#N/A,#N/A,115,,,,,
Geauga County,Chardon,5139,12,3,,1,8
Geauga County,Burton,1453,,,,,
Geauga County,Middlefield,2690,,,,,
#N/A,#N/A,3803,1,,,,1
#N/A,#N/A,5180,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,53231,19,,5,4,10
#N/A,#N/A,,,,,,
#N/A,#N/A,32618,57,2,11,24,20
Greene County,Xenia,25923,60,,14,20,26
Greene County,Yellow Springs,3516,3,,,1,2
Greene County,Bellbrook,7001,3,,1,1,1
#N/A,#N/A,2008,1,,1,,
Greene County,Beavercreek,45563,25,,6,13,6
#N/A,#N/A,,6,,5,,1
#N/A,#N/A,8104,5,,1,,4
#N/A,#N/A,,1,,,,1
#N/A,#N/A,2,,,,,
#N/A,#N/A,471,,,,,
#N/A,#N/A,37630,25,1,12,4,8
#N/A,#N/A,,,,,,
Guernsey County,Cambridge,10592,62,1,8,13,40
#N/A,#N/A,26450,6,2,1,3,
#N/A,#N/A,,,,,,
Hamilton County,Cincinnati,296204,2903,47,199,1726,931
#N/A,#N/A,29,,,,,
#N/A,#N/A,935,,,,,
#N/A,#N/A,3576,2,,,2,
#N/A,#N/A,742,2,,1,,1
Hamilton County,Blue Ash,12082,7,,,3,4
#N/A,#N/A,8352,9,,1,7,1
Hamilton County,Cleves,3225,1,,,,1
Hamilton County,Deer Park,5723,11,,1,2,8
#N/A,#N/A,29433,13,,3,6,4
#N/A,#N/A,2183,1,,,,1
#N/A,#N/A,2761,5,,,4,1
Hamilton County,Forest Park,18672,28,1,4,23,
#N/A,#N/A,2150,1,,,1,
Hamilton County,Greenhills,3605,1,,,,1
Hamilton County,Harrison,9870,8,,1,4,3
#N/A,#N/A,5771,,,,,
#N/A,#N/A,3279,24,1,4,12,7
#N/A,#N/A,3441,25,2,,16,7
#N/A,#N/A,9323,2,,1,,1
Hamilton County,Madeira,8704,,,,,
#N/A,#N/A,3393,,,,,
Hamilton County,Montgomery,10224,1,,,1,
#N/A,#N/A,6084,1,,1,,
#N/A,#N/A,2665,,,,,
#N/A,#N/A,9371,6,,,4,2
Hamilton County,Norwood,19158,64,1,9,43,11
#N/A,#N/A,11167,11,,5,5,1
#N/A,#N/A,4769,6,,,5,1
#N/A,#N/A,11194,41,,4,26,11
#N/A,#N/A,36225,47,1,3,28,15
#N/A,#N/A,3286,11,,1,4,6
#N/A,#N/A,8407,7,,,,7
#N/A,#N/A,,13,,1,4,8
#N/A,#N/A,58345,16,,,,16
#N/A,#N/A,,,,,,
#N/A,#N/A,163708,275,4,54,136,81
#N/A,#N/A,,1,,1,,
#N/A,#N/A,,,,,,
#N/A,#N/A,175,,,,,
Hancock County,Findlay,41348,77,,19,20,38
Hancock County,McComb,1655,,,,,
#N/A,#N/A,2942,4,,1,1,2
#N/A,#N/A,28931,4,,1,,3
#N/A,#N/A,,,,,,
#N/A,#N/A,5947,6,,3,1,2
#N/A,#N/A,8251,6,,1,4,1
#N/A,#N/A,1458,1,,,1,
#N/A,#N/A,16362,4,,,,4
#N/A,#N/A,,,,,,
#N/A,#N/A,3349,6,,2,,4
#N/A,#N/A,692,,,,,
#N/A,#N/A,11368,4,,3,1,
#N/A,#N/A,,,,,,
#N/A,#N/A,8701,14,1,6,3,4
#N/A,#N/A,1788,,,,,
#N/A,#N/A,15560,12,1,6,,5
#N/A,#N/A,,,,,,
Highland County,Greenfield,4623,7,,1,4,2
Highland County,Hillsboro,6585,4,,3,1,
Highland County,Leesburg,1313,,,,,
Highland County,Lynchburg,29165,44,,3,,41
#N/A,#N/A,,,,,,
#N/A,#N/A,15,,,,,
Hocking County,Logan,7155,10,,3,6,1
#N/A,#N/A,22222,9,3,2,,4
#N/A,#N/A,,,,,,
#N/A,#N/A,54,,,,,
#N/A,#N/A,3052,3,,2,,1
#N/A,#N/A,39218,4,,2,2,
#N/A,#N/A,,,,,,
#N/A,#N/A,362,,,,,
#N/A,#N/A,2455,3,,1,,2
#N/A,#N/A,16976,6,,2,3,1
#N/A,#N/A,6224,,,,,
#N/A,#N/A,1473,,,,,
#N/A,#N/A,1397,1,,,,1
#N/A,#N/A,1044,,,,,
#N/A,#N/A,907,,,,,
#N/A,#N/A,24988,4,,,2,2
#N/A,#N/A,,,,,,
#N/A,#N/A,6390,1,,,,1
#N/A,#N/A,5657,8,,,2,6
#N/A,#N/A,1551,4,1,,1,2
#N/A,#N/A,19586,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,,,,,,
#N/A,#N/A,3409,11,,1,,10
#N/A,#N/A,5024,3,,,,3
Jefferson County,Wintersville,3875,6,,,1,5
#N/A,#N/A,658,,,,,
#N/A,#N/A,1336,,,,,
#N/A,#N/A,2799,1,,1,,
#N/A,#N/A,24070,9,,1,4,4
#N/A,#N/A,,,,,,
Knox County,Mount Vernon,17086,19,,1,4,14
#N/A,#N/A,1051,3,,1,1,1
Knox County,Fredericktown,2508,2,,2,,
#N/A,#N/A,16,,,,,
#N/A,#N/A,40610,12,1,2,2,7
#N/A,#N/A,,,,,,
Lake County,Eastlake,18564,23,,1,13,9
#N/A,#N/A,3107,7,,2,2,3
#N/A,#N/A,646,,,,,
Lake County,Madison,3182,,,,,
Lake County,Mentor,47123,53,,15,27,11
#N/A,#N/A,7439,4,,,,4
